Size,Average Time(s)
5000000,0.2670541
10000000,0.521315667
15000000,0.809098533
20000000,1.033788567
25000000,1.316431033
30000000,1.580985967
35000000,1.8376846
40000000,2.129179367
45000000,2.3309066
50000000,2.580844933
55000000,2.842764867
60000000,3.1730866
65000000,3.380582333
70000000,3.639136733
75000000,3.881492333
80000000,4.2093172
85000000,4.4263389
90000000,4.670094267
95000000,4.888959033
100000000,5.1643386
105000000,5.458116567
110000000,5.7154742
115000000,6.103509467
120000000,6.2252949
125000000,6.461841433
130000000,6.711849333
135000000,6.995159667
140000000,7.2706191
145000000,7.530799
150000000,7.739540133
155000000,7.983503633
160000000,8.212961833
165000000,8.488055767
170000000,8.841474933
175000000,9.061429867
180000000,9.274779333
185000000,9.561048667
190000000,9.914538
195000000,10.10817793
200000000,10.42868643
