Size,Average Time(s)
5000000,0.3818398
10000000,0.6686646
15000000,0.952647967
20000000,1.259823367
25000000,1.534616767
30000000,1.839101267
35000000,2.142257333
40000000,2.514128567
45000000,2.765924867
50000000,3.0546233
55000000,3.362026567
60000000,3.673144567
65000000,3.918073967
70000000,4.2855811
75000000,4.629048733
80000000,4.947384333
85000000,5.284948133
90000000,5.441438867
95000000,5.774895067
100000000,6.0520897
105000000,6.4769613
110000000,6.7037115
115000000,6.941328967
120000000,7.4319044
125000000,7.508453367
130000000,8.141179333
135000000,8.184669667
140000000,8.519687267
145000000,8.712652967
150000000,9.008247
155000000,9.385774267
160000000,9.649583333
165000000,10.16220193
170000000,10.29675933
175000000,10.4525768
180000000,10.77509717
185000000,11.03812807
190000000,11.70418517
195000000,11.70283753
200000000,12.31766527
