Size,Average Time(s)
5000000,9.95E-05
10000000,0.000103466
15000000,0.000105821
20000000,0.000107372
25000000,0.000109073
30000000,0.000110445
35000000,0.000110117
40000000,0.000125424
45000000,0.000110526
50000000,0.000109855
55000000,0.000111073
60000000,0.000111619
65000000,0.00011108
70000000,0.000111068
75000000,0.000111592
80000000,0.000112558
85000000,0.000112866
90000000,0.000111824
95000000,0.000111957
100000000,0.000111453
105000000,0.000112337
110000000,0.000113641
115000000,0.000111786
120000000,0.000116054
125000000,0.000113247
130000000,0.000113495
135000000,0.000115433
140000000,0.00011192
145000000,0.000113999
150000000,0.000112723
155000000,0.000117946
160000000,0.000112231
165000000,0.000113269
170000000,0.000113224
175000000,0.000114484
180000000,0.00011439
185000000,0.000113172
190000000,0.000117056
195000000,0.000123256
200000000,0.000119522
