k,n,m,time
10,20000000,10000,0.513465331
10,20000000,20000,1.521798929
10,20000000,30000,3.123430094
10,20000000,40000,5.331703096
10,20000000,50000,8.149546181
10,20000000,60000,11.66737575
10,20000000,70000,16.01829414
10,20000000,80000,21.24704573
10,20000000,90000,27.16193064
10,20000000,100000,34.09463187
10,40000000,10000,0.816018203
10,40000000,20000,1.716802316
10,40000000,30000,3.326100494
10,40000000,40000,5.531366213
10,40000000,50000,8.374430637
10,40000000,60000,11.96537642
10,40000000,70000,16.30127939
10,40000000,80000,21.49267027
10,40000000,90000,27.66687081
10,40000000,100000,35.40830452
10,60000000,10000,0.826158523
10,60000000,20000,1.817213055
10,60000000,30000,3.427013152
10,60000000,40000,5.639516383
10,60000000,50000,8.450927709
10,60000000,60000,12.05633979
10,60000000,70000,16.3916819
10,60000000,80000,21.79139308
10,60000000,90000,27.3809702
10,60000000,100000,34.74671022
10,80000000,10000,1.215682875
10,80000000,20000,2.225382731
10,80000000,30000,3.950647952
10,80000000,40000,6.056791442
10,80000000,50000,8.97018273
10,80000000,60000,12.58370893
10,80000000,70000,17.32763673
10,80000000,80000,22.94461369
10,80000000,90000,29.59317915
10,80000000,100000,37.44791963
10,100000000,10000,1.318362023
10,100000000,20000,3.149511901
10,100000000,30000,3.930233574
10,100000000,40000,6.134638073
10,100000000,50000,9.061211929
10,100000000,60000,12.77722876
10,100000000,70000,17.42298546
10,100000000,80000,23.41767519
10,100000000,90000,30.7622735
10,100000000,100000,38.05138061
10,120000000,10000,1.416993718
10,120000000,20000,2.849398673
10,120000000,30000,4.02938135
10,120000000,40000,6.33917622
10,120000000,50000,9.150487289
10,120000000,60000,12.86344788
10,120000000,70000,17.60854702
10,120000000,80000,23.63812816
10,120000000,90000,30.60858347
10,120000000,100000,37.79147537
10,140000000,10000,2.120926853
10,140000000,20000,3.031624608
10,140000000,30000,4.638345437
10,140000000,40000,6.94143989
10,140000000,50000,9.748490146
10,140000000,60000,13.50098056
10,140000000,70000,18.08389455
10,140000000,80000,23.93824191
10,140000000,90000,31.0557117
10,140000000,100000,39.63110741
10,160000000,10000,3.847322231
10,160000000,20000,3.232019371
10,160000000,30000,4.834743293
10,160000000,40000,7.04007114
10,160000000,50000,9.968382019
10,160000000,60000,13.66269025
10,160000000,70000,18.43746277
10,160000000,80000,24.25888428
10,160000000,90000,30.6960681
10,160000000,100000,40.24906393
10,180000000,10000,3.663310842
10,180000000,20000,3.332039864
10,180000000,30000,4.929513806
10,180000000,40000,7.138581575
10,180000000,50000,9.96257926
10,180000000,60000,13.6907547
10,180000000,70000,18.30511483
10,180000000,80000,23.92917043
10,180000000,90000,30.89306464
10,180000000,100000,38.51792582
10,190000000,10000,2.420168812
10,190000000,20000,3.324740934
10,190000000,30000,4.93409613
10,190000000,40000,7.146484184
10,190000000,50000,10.07164491
10,190000000,60000,13.67941774
10,190000000,70000,18.10339467
10,190000000,80000,23.54381167
10,190000000,90000,29.66229662
10,190000000,100000,36.75024358
10,200000000,10000,2.421722571
10,200000000,20000,3.326917845
10,200000000,30000,4.934254194
10,200000000,40000,7.152927197
10,200000000,50000,10.15404513
10,200000000,60000,13.79173808
10,200000000,70000,18.42106815
10,200000000,80000,23.99357275
10,200000000,90000,30.28768533
10,200000000,100000,38.52068171
10,220000000,10000,2.521831966
10,220000000,20000,3.426291814
10,220000000,30000,4.94728967
10,220000000,40000,7.249531868
10,220000000,50000,10.15288519
10,220000000,60000,13.68388853
10,220000000,70000,18.28022721
10,220000000,80000,23.82665578
10,220000000,90000,30.35724135
10,220000000,100000,37.60396302
10,240000000,10000,2.521382841
10,240000000,20000,3.427671882
10,240000000,30000,5.03070447
10,240000000,40000,7.345377451
10,240000000,50000,10.1715348
10,240000000,60000,13.80526569
10,240000000,70000,18.27980199
10,240000000,80000,23.55720433
10,240000000,90000,29.82388686
10,240000000,100000,38.87470381
