n,time
100000,0.0337773
200000,0.0743982
300000,0.1029571
400000,0.1362978
500000,0.1481297
600000,0.1833765
700000,0.1854686
800000,0.2099167
900000,0.3160382
1000000,0.3625492
1100000,0.2345787
1200000,0.5459348
1300000,0.4149838
1400000,0.4149838
1500000,0.4646321
1600000,0.5216086
1700000,0.4984257
1800000,0.6112684
1900000,0.4861124
2000000,0.5201447
2100000,0.5458276
2200000,0.5639881
2300000,0.5807812
2400000,0.5962543
2500000,0.7299063
2600000,0.6893371
2700000,0.7191663
2800000,0.7543241
2900000,0.9119642
3000000,0.9744928
3100000,0.8500659
3200000,0.8672646
3300000,0.8616686
3400000,0.8421801
3500000,0.9080112
3600000,0.9228251
3700000,1.0315635
3800000,1.091114
3900000,1.281281
4000000,1.4132342
4100000,1.5288029
4200000,1.7082279
4300000,1.0533739
4400000,1.0917802
4500000,1.6446168
4600000,1.2796763
4700000,2.6063035
4800000,1.8958317
4900000,1.3759573
5000000,2.0082838
