n,time
2000000,0.000565342
4000000,0.000641605
6000000,0.000671666
8000000,0.000745797
10000000,0.000668816
12000000,0.000338539
14000000,0.000204187
16000000,0.000205001
18000000,0.000250097
20000000,0.000161988
22000000,0.000665375
24000000,0.000775424
26000000,0.000816977
28000000,0.000212022
30000000,0.000431074
32000000,0.000200544
34000000,0.000297441
36000000,0.000221661
38000000,0.000235095
40000000,0.000704954
42000000,0.000805164
44000000,0.000994301
46000000,0.000194928
48000000,0.000241248
50000000,0.000204058
52000000,0.000190154
54000000,0.000201088
56000000,0.000199687
58000000,0.000224817
60000000,0.000254504
