size, time(s)
100000,0.00349055
200000,0.0052716
300000,0.00797909
400000,0.01058993
500000,0.01309112
600000,0.01637075
700000,0.01861056
800000,0.02435909
900000,0.0255161
1000000,0.02950536
1100000,0.03468227
1200000,0.03713367
1300000,0.0390601
1400000,0.04204058
1500000,0.04614499
1600000,0.04806099
1700000,0.05018694
1800000,0.05110668
1900000,0.05262024
2000000,0.05430971
2100000,0.05699384
2200000,0.05993701
2300000,0.06142512
2400000,0.06565705
2500000,0.0705984
2600000,0.07390351
2700000,0.07388359
2800000,0.07799526
2900000,0.083466522
3000000,0.08733303
3100000,0.08882625
3200000,0.09333612
3300000,0.09512012
3400000,0.09836353
3500000,0.10399787
3600000,0.10896429
3700000,0.11384945
3800000,0.11592479
3900000,0.12069997
4000000,0.12531216
4100000,0.13073938
4200000,0.13542296
4300000,0.14099299
4400000,0.14009686
4500000,0.14396729
4600000,0.14422407
4700000,0.14921294
4800000,0.15320719
4900000,0.15741686
5000000,0.16404148
