size,time(s)
100000,0.203812
200000,0.275875
300000,0.343488
400000,0.403858
500000,0.424711
600000,0.541731
700000,0.596764
800000,0.708477
900000,0.827795
1000000,0.811568
1100000,0.834172
1200000,0.986583
1300000,1.017258
1400000,1.117918
1500000,0.982488
1600000,1.07818
1700000,0.962263
1800000,1.065963
1900000,1.058143
2000000,1.081635
2100000,1.145774
2200000,1.261948
2300000,1.303609
2400000,1.523271
2500000,1.604542
2600000,1.737943
2700000,1.806935
2800000,1.827661
2900000,1.925268
3000000,2.045314
3100000,2.119452
3200000,1.820835
3300000,1.772862
3400000,1.894946
3500000,1.973241
3600000,2.024403
3700000,2.089525
3800000,2.228391
3900000,2.195637
4000000,2.204913
4100000,2.246731
4200000,2.185247
4300000,2.239815
4400000,2.338657
4500000,2.253182
4600000,2.35971
4700000,2.324919
4800000,2.439346
4900000,2.562752
5000000,2.494319
