n,time
2000000,0.000391967
4000000,0.000440895
6000000,0.000575003
8000000,0.000505422
10000000,0.000443678
12000000,0.000509803
14000000,0.000134788
16000000,0.000158318
18000000,0.000152203
20000000,0.000157265
22000000,0.000761719
24000000,0.000558289
26000000,0.000439682
28000000,0.000796852
30000000,0.000326663
32000000,0.000437515
34000000,0.000343723
36000000,0.000192754
38000000,0.000231242
40000000,0.000356739
42000000,0.000292864
44000000,0.000708756
46000000,0.001080431
48000000,0.001329462
50000000,0.000406668
52000000,0.000356358
54000000,0.000320056
56000000,0.000346089
58000000,0.000427419
60000000,0.000415878
