n,time
2000000,0.000148336
4000000,0.000170607
6000000,0.000246218
8000000,0.000188197
10000000,0.000195758
12000000,0.000269329
14000000,0.000079897
16000000,0.000084217
18000000,0.00011349
20000000,0.000092682
22000000,0.000440356
24000000,0.000461747
26000000,0.000267747
28000000,0.000384109
30000000,0.000294236
32000000,0.000838113
34000000,0.000236461
36000000,0.000106185
38000000,0.00022075
40000000,0.000298862
42000000,0.000239345
44000000,0.000626137
46000000,0.000479084
48000000,0.000327439
50000000,0.000271871
52000000,0.000309652
54000000,0.00024867
56000000,0.000316466
58000000,0.000350371
60000000,0.000697238
62000000,0.000305666
64000000,0.000761899
66000000,0.00073798
68000000,0.000991574
70000000,0.000848659
72000000,0.000814962
74000000,0.000709325
76000000,0.000524111
78000000,0.000339644
80000000,0.000306961
82000000,0.000897511
84000000,0.000391991
86000000,0.000561176
88000000,0.000397238
90000000,0.000343424
92000000,0.000797429
94000000,0.000867195
96000000,0.000329012
98000000,0.000288257
100000000,0.000731053
