n,time
100000,0.000036396
200000,0.000034727
300000,0.000043387
400000,0.000050892
500000,0.000107598
600000,0.000031915
700000,0.000030586
800000,0.000040388
900000,0.000036424
1000000,0.000069157
1100000,0.000036338
1200000,0.000037807
1300000,0.000028601
1400000,0.000028601
1500000,0.000026825
1600000,0.000027557
1700000,0.000026672
1800000,0.000048525
1900000,0.000044571
2000000,0.00004842
2100000,0.000032199
2200000,0.000042033
2300000,0.000046059
2400000,0.000048535
2500000,0.000043348
2600000,0.000045386
2700000,0.000048277
2800000,0.000045124
2900000,0.000044199
3000000,0.000041093
3100000,0.000050384
3200000,0.000035987
3300000,0.00005087
3400000,0.000040673
3500000,0.000044345
3600000,0.000045016
3700000,0.000067853
3800000,0.000046709
3900000,0.000040289
4000000,0.000057398
4100000,0.000060086
4200000,0.000062036
4300000,0.000064697
4400000,0.000038714
4500000,0.000044957
4600000,0.000037677
4700000,0.000059519
4800000,0.000071132
4900000,0.000066777
5000000,0.00005819
