n,time
2000000,0.000625679
4000000,0.000572869
6000000,0.000802664
8000000,0.001073168
10000000,0.000499507
12000000,0.000425243
14000000,0.000289252
16000000,0.000266177
18000000,0.000256858
20000000,0.000226826
22000000,0.000794834
24000000,0.000932583
26000000,0.001057712
28000000,0.000272815
30000000,0.000844611
32000000,0.000309498
34000000,0.000302399
36000000,0.000349561
38000000,0.000351757
40000000,0.001096208
42000000,0.001065349
44000000,0.00134083
46000000,0.000225612
48000000,0.000314585
50000000,0.000290918
52000000,0.000347567
54000000,0.000243664
56000000,0.000300261
58000000,0.000305828
60000000,0.000585779
62000000,0.000946279
64000000,0.00041087
66000000,0.000749444
68000000,0.000688003
70000000,0.000828066
72000000,0.000240311
74000000,0.0008142
76000000,0.000653339
78000000,0.000286168
80000000,0.00104475
82000000,0.00104747
84000000,0.000276399
86000000,0.000717447
88000000,0.000230667
90000000,0.000678378
92000000,0.001175793
94000000,0.001321323
96000000,0.000575226
98000000,0.000242543
100000000,0.001018804
