n,time
100000,0.00561246
200000,0.00623699
300000,0.00821585
400000,0.00928888
500000,0.02293051
600000,0.00674227
700000,0.00682226
800000,0.00896169
900000,0.01277421
1000000,0.02477186
1100000,0.00816131
1200000,0.01140597
1300000,0.01149488
1400000,0.01149488
1500000,0.01090198
1600000,0.00891674
1700000,0.0139477
1800000,0.01971374
1900000,0.01609891
2000000,0.01306351
2100000,0.01596502
2200000,0.01709614
2300000,0.01531404
2400000,0.02004236
2500000,0.02047058
2600000,0.02062402
2700000,0.01976206
2800000,0.02200985
2900000,0.02370331
3000000,0.02447834
3100000,0.02407913
3200000,0.02306689
3300000,0.02477503
3400000,0.02441719
3500000,0.02531636
3600000,0.02603252
3700000,0.02502347
3800000,0.02764429
3900000,0.0251424
4000000,0.02983256
4100000,0.03278388
4200000,0.03122128
4300000,0.03287345
4400000,0.03203327
4500000,0.0272905
4600000,0.02812138
4700000,0.03697025
4800000,0.03716941
4900000,0.035896
5000000,0.04075876
