n,time
2000000,0.000118748
4000000,0.00058299
6000000,0.000488941
8000000,0.000678456
10000000,0.000539434
12000000,0.000801124
14000000,0.000286064
16000000,0.000204596
18000000,0.000179078
20000000,0.000183208
22000000,0.000511335
24000000,0.000623444
26000000,0.000929836
28000000,0.000179886
30000000,0.000541455
32000000,0.000193304
34000000,0.00026019
36000000,0.000241444
38000000,0.000178992
40000000,0.000627461
42000000,0.000446824
44000000,0.000863098
46000000,0.000153428
48000000,0.000270795
50000000,0.000172622
52000000,0.000162342
54000000,0.000167078
56000000,0.000230667
58000000,0.00026274
60000000,0.00032691
62000000,0.000251785
64000000,0.000744891
66000000,0.000275112
68000000,0.000841769
70000000,0.000537333
72000000,0.000171029
74000000,0.0005079
76000000,0.000671666
78000000,0.000154247
80000000,0.000475872
82000000,0.000637373
84000000,0.000200307
86000000,0.000467378
88000000,0.000161615
90000000,0.000402793
92000000,0.000747124
94000000,0.000480443
96000000,0.000807196
98000000,0.00014904
100000000,0.001260054
