size,time(s)
100000,0.487111
200000,0.818227
300000,1.096778
400000,1.419688
500000,1.772715
600000,2.157897
700000,2.489604
800000,3.057677
900000,4.191062
1000000,4.475927
1100000,5.786053
1200000,6.87332
1300000,7.621754
1400000,8.398246
1500000,10.008729
1600000,11.199808
1700000,12.005475
1800000,12.81803
1900000,14.559006
2000000,16.733142
2100000,16.404591
2200000,17.262206
2300000,18.515829
2400000,19.959618
2500000,21.134853
2600000,21.240957
2700000,24.118223
2800000,24.160353
2900000,25.235283
3000000,26.054559
3100000,29.074751
3200000,28.355915
3300000,29.76558
3400000,30.628243
3500000,31.455294
3600000,32.216543
3700000,35.528276
3800000,36.688172
3900000,37.338657
4000000,39.254913
4100000,40.027272
4200000,41.033347
4300000,42.261416
4400000,43.822028
4500000,45.087504
4600000,46.176865
4700000,48.90745
4800000,49.587353
4900000,51.269189
5000000,52.804094
